Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1772287250.055	     5.973	0	0	0	0	python3 /opt/bin/scripts/../clair3.py CallVariantsFromCffi --chkpnt_fn /opt/models/hifi_sequel2/pileup.pt --bam_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/HG002_aligned.bam --call_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/pileup_output/pileup_chr1_2.vcf' --sampleName SAMPLE --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --extend_bed '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/split_beds/chr1' --bed_fn EMPTY --vcf_fn EMPTY --threads 1 --ctgName chr1 --chunk_id 2 --chunk_num 50 --platform hifi --fast_mode False --snp_min_af 0.08 --indel_min_af 0.08 --minMQ 5 --minCoverage 2 --call_snp_only False --enable_variant_calling_at_sequence_head_and_tail False --gvcf False --base_err 0.001 --gq_bin_size 5 --enable_long_indel False --samtools samtools --temp_file_dir /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/gvcf_tmp_output --pileup --keep_iupac_bases False --cmd_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/CMD --use_gpu False --cpu_threads 4
3	:	1772287250.061	     6.310	0	0	0	0	python3 /opt/bin/scripts/../clair3.py CallVariantsFromCffi --chkpnt_fn /opt/models/hifi_sequel2/pileup.pt --bam_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/HG002_aligned.bam --call_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/pileup_output/pileup_chr1_3.vcf' --sampleName SAMPLE --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --extend_bed '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/split_beds/chr1' --bed_fn EMPTY --vcf_fn EMPTY --threads 1 --ctgName chr1 --chunk_id 3 --chunk_num 50 --platform hifi --fast_mode False --snp_min_af 0.08 --indel_min_af 0.08 --minMQ 5 --minCoverage 2 --call_snp_only False --enable_variant_calling_at_sequence_head_and_tail False --gvcf False --base_err 0.001 --gq_bin_size 5 --enable_long_indel False --samtools samtools --temp_file_dir /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/gvcf_tmp_output --pileup --keep_iupac_bases False --cmd_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/CMD --use_gpu False --cpu_threads 4
10	:	1772287250.113	     6.935	0	0	0	0	python3 /opt/bin/scripts/../clair3.py CallVariantsFromCffi --chkpnt_fn /opt/models/hifi_sequel2/pileup.pt --bam_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/HG002_aligned.bam --call_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/pileup_output/pileup_chr1_10.vcf' --sampleName SAMPLE --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --extend_bed '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/split_beds/chr1' --bed_fn EMPTY --vcf_fn EMPTY --threads 1 --ctgName chr1 --chunk_id 10 --chunk_num 50 --platform hifi --fast_mode False --snp_min_af 0.08 --indel_min_af 0.08 --minMQ 5 --minCoverage 2 --call_snp_only False --enable_variant_calling_at_sequence_head_and_tail False --gvcf False --base_err 0.001 --gq_bin_size 5 --enable_long_indel False --samtools samtools --temp_file_dir /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/gvcf_tmp_output --pileup --keep_iupac_bases False --cmd_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/CMD --use_gpu False --cpu_threads 4
11	:	1772287250.122	     7.510	0	0	0	0	python3 /opt/bin/scripts/../clair3.py CallVariantsFromCffi --chkpnt_fn /opt/models/hifi_sequel2/pileup.pt --bam_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/HG002_aligned.bam --call_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/pileup_output/pileup_chr1_11.vcf' --sampleName SAMPLE --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --extend_bed '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/split_beds/chr1' --bed_fn EMPTY --vcf_fn EMPTY --threads 1 --ctgName chr1 --chunk_id 11 --chunk_num 50 --platform hifi --fast_mode False --snp_min_af 0.08 --indel_min_af 0.08 --minMQ 5 --minCoverage 2 --call_snp_only False --enable_variant_calling_at_sequence_head_and_tail False --gvcf False --base_err 0.001 --gq_bin_size 5 --enable_long_indel False --samtools samtools --temp_file_dir /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/gvcf_tmp_output --pileup --keep_iupac_bases False --cmd_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/CMD --use_gpu False --cpu_threads 4
9	:	1772287250.105	     7.691	0	0	0	0	python3 /opt/bin/scripts/../clair3.py CallVariantsFromCffi --chkpnt_fn /opt/models/hifi_sequel2/pileup.pt --bam_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/HG002_aligned.bam --call_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/pileup_output/pileup_chr1_9.vcf' --sampleName SAMPLE --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --extend_bed '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/split_beds/chr1' --bed_fn EMPTY --vcf_fn EMPTY --threads 1 --ctgName chr1 --chunk_id 9 --chunk_num 50 --platform hifi --fast_mode False --snp_min_af 0.08 --indel_min_af 0.08 --minMQ 5 --minCoverage 2 --call_snp_only False --enable_variant_calling_at_sequence_head_and_tail False --gvcf False --base_err 0.001 --gq_bin_size 5 --enable_long_indel False --samtools samtools --temp_file_dir /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/gvcf_tmp_output --pileup --keep_iupac_bases False --cmd_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/CMD --use_gpu False --cpu_threads 4
12	:	1772287250.131	     8.339	0	0	0	0	python3 /opt/bin/scripts/../clair3.py CallVariantsFromCffi --chkpnt_fn /opt/models/hifi_sequel2/pileup.pt --bam_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/HG002_aligned.bam --call_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/pileup_output/pileup_chr1_12.vcf' --sampleName SAMPLE --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --extend_bed '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/split_beds/chr1' --bed_fn EMPTY --vcf_fn EMPTY --threads 1 --ctgName chr1 --chunk_id 12 --chunk_num 50 --platform hifi --fast_mode False --snp_min_af 0.08 --indel_min_af 0.08 --minMQ 5 --minCoverage 2 --call_snp_only False --enable_variant_calling_at_sequence_head_and_tail False --gvcf False --base_err 0.001 --gq_bin_size 5 --enable_long_indel False --samtools samtools --temp_file_dir /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/gvcf_tmp_output --pileup --keep_iupac_bases False --cmd_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/CMD --use_gpu False --cpu_threads 4
6	:	1772287250.082	     8.417	0	0	0	0	python3 /opt/bin/scripts/../clair3.py CallVariantsFromCffi --chkpnt_fn /opt/models/hifi_sequel2/pileup.pt --bam_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/HG002_aligned.bam --call_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/pileup_output/pileup_chr1_6.vcf' --sampleName SAMPLE --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --extend_bed '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/split_beds/chr1' --bed_fn EMPTY --vcf_fn EMPTY --threads 1 --ctgName chr1 --chunk_id 6 --chunk_num 50 --platform hifi --fast_mode False --snp_min_af 0.08 --indel_min_af 0.08 --minMQ 5 --minCoverage 2 --call_snp_only False --enable_variant_calling_at_sequence_head_and_tail False --gvcf False --base_err 0.001 --gq_bin_size 5 --enable_long_indel False --samtools samtools --temp_file_dir /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/gvcf_tmp_output --pileup --keep_iupac_bases False --cmd_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/CMD --use_gpu False --cpu_threads 4
8	:	1772287250.098	     9.039	0	0	0	0	python3 /opt/bin/scripts/../clair3.py CallVariantsFromCffi --chkpnt_fn /opt/models/hifi_sequel2/pileup.pt --bam_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/HG002_aligned.bam --call_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/pileup_output/pileup_chr1_8.vcf' --sampleName SAMPLE --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --extend_bed '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/split_beds/chr1' --bed_fn EMPTY --vcf_fn EMPTY --threads 1 --ctgName chr1 --chunk_id 8 --chunk_num 50 --platform hifi --fast_mode False --snp_min_af 0.08 --indel_min_af 0.08 --minMQ 5 --minCoverage 2 --call_snp_only False --enable_variant_calling_at_sequence_head_and_tail False --gvcf False --base_err 0.001 --gq_bin_size 5 --enable_long_indel False --samtools samtools --temp_file_dir /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/gvcf_tmp_output --pileup --keep_iupac_bases False --cmd_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/CMD --use_gpu False --cpu_threads 4
4	:	1772287250.068	     9.372	0	0	0	0	python3 /opt/bin/scripts/../clair3.py CallVariantsFromCffi --chkpnt_fn /opt/models/hifi_sequel2/pileup.pt --bam_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/HG002_aligned.bam --call_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/pileup_output/pileup_chr1_4.vcf' --sampleName SAMPLE --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --extend_bed '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/split_beds/chr1' --bed_fn EMPTY --vcf_fn EMPTY --threads 1 --ctgName chr1 --chunk_id 4 --chunk_num 50 --platform hifi --fast_mode False --snp_min_af 0.08 --indel_min_af 0.08 --minMQ 5 --minCoverage 2 --call_snp_only False --enable_variant_calling_at_sequence_head_and_tail False --gvcf False --base_err 0.001 --gq_bin_size 5 --enable_long_indel False --samtools samtools --temp_file_dir /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/gvcf_tmp_output --pileup --keep_iupac_bases False --cmd_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/CMD --use_gpu False --cpu_threads 4
7	:	1772287250.090	     9.742	0	0	0	0	python3 /opt/bin/scripts/../clair3.py CallVariantsFromCffi --chkpnt_fn /opt/models/hifi_sequel2/pileup.pt --bam_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/HG002_aligned.bam --call_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/pileup_output/pileup_chr1_7.vcf' --sampleName SAMPLE --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --extend_bed '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/split_beds/chr1' --bed_fn EMPTY --vcf_fn EMPTY --threads 1 --ctgName chr1 --chunk_id 7 --chunk_num 50 --platform hifi --fast_mode False --snp_min_af 0.08 --indel_min_af 0.08 --minMQ 5 --minCoverage 2 --call_snp_only False --enable_variant_calling_at_sequence_head_and_tail False --gvcf False --base_err 0.001 --gq_bin_size 5 --enable_long_indel False --samtools samtools --temp_file_dir /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/gvcf_tmp_output --pileup --keep_iupac_bases False --cmd_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/CMD --use_gpu False --cpu_threads 4
