Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1772287698.360	     1.435	0	0	0	0	pypy3 /opt/bin/scripts/../clair3.py SelectCandidates --pileup_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --split_folder /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --var_pct_full 0.3 --ref_pct_full 0.3 --platform hifi --ctgName chr2
12	:	1772287698.418	     1.676	0	0	0	0	pypy3 /opt/bin/scripts/../clair3.py SelectCandidates --pileup_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --split_folder /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --var_pct_full 0.3 --ref_pct_full 0.3 --platform hifi --ctgName chr12
15	:	1772287698.486	     1.782	0	0	0	0	pypy3 /opt/bin/scripts/../clair3.py SelectCandidates --pileup_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --split_folder /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --var_pct_full 0.3 --ref_pct_full 0.3 --platform hifi --ctgName chr15
1	:	1772287698.355	     1.967	0	0	0	0	pypy3 /opt/bin/scripts/../clair3.py SelectCandidates --pileup_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --split_folder /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --var_pct_full 0.3 --ref_pct_full 0.3 --platform hifi --ctgName chr1
3	:	1772287698.364	     2.026	0	0	0	0	pypy3 /opt/bin/scripts/../clair3.py SelectCandidates --pileup_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --split_folder /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --var_pct_full 0.3 --ref_pct_full 0.3 --platform hifi --ctgName chr3
11	:	1772287698.411	     2.095	0	0	0	0	pypy3 /opt/bin/scripts/../clair3.py SelectCandidates --pileup_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --split_folder /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --var_pct_full 0.3 --ref_pct_full 0.3 --platform hifi --ctgName chr11
9	:	1772287698.399	     2.143	0	0	0	0	pypy3 /opt/bin/scripts/../clair3.py SelectCandidates --pileup_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --split_folder /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --var_pct_full 0.3 --ref_pct_full 0.3 --platform hifi --ctgName chr9
5	:	1772287698.374	     2.253	0	0	0	0	pypy3 /opt/bin/scripts/../clair3.py SelectCandidates --pileup_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --split_folder /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --var_pct_full 0.3 --ref_pct_full 0.3 --platform hifi --ctgName chr5
6	:	1772287698.380	     2.247	0	0	0	0	pypy3 /opt/bin/scripts/../clair3.py SelectCandidates --pileup_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --split_folder /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --var_pct_full 0.3 --ref_pct_full 0.3 --platform hifi --ctgName chr6
7	:	1772287698.385	     2.243	0	0	0	0	pypy3 /opt/bin/scripts/../clair3.py SelectCandidates --pileup_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --split_folder /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --var_pct_full 0.3 --ref_pct_full 0.3 --platform hifi --ctgName chr7
