Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
6	:	1772287875.253	     2.644	0	0	0	0	pypy3 /opt/bin/scripts/../clair3.py MergeVcf --pileup_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --bed_fn_prefix /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed --full_alignment_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/full_alignment.vcf.gz --output_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/merge_output/merge_chr6.vcf' --platform hifi --print_ref_calls False --gvcf False --haploid_precise False --haploid_sensitive False --gvcf_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/merge_output/merge_chr6.gvcf' --non_var_gvcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/gvcf_tmp_output/non_var.gvcf --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --qual 2 --ctgName chr6
8	:	1772287875.268	     2.666	0	0	0	0	pypy3 /opt/bin/scripts/../clair3.py MergeVcf --pileup_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --bed_fn_prefix /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed --full_alignment_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/full_alignment.vcf.gz --output_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/merge_output/merge_chr8.vcf' --platform hifi --print_ref_calls False --gvcf False --haploid_precise False --haploid_sensitive False --gvcf_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/merge_output/merge_chr8.gvcf' --non_var_gvcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/gvcf_tmp_output/non_var.gvcf --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --qual 2 --ctgName chr8
11	:	1772287875.308	     2.626	0	0	0	0	pypy3 /opt/bin/scripts/../clair3.py MergeVcf --pileup_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --bed_fn_prefix /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed --full_alignment_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/full_alignment.vcf.gz --output_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/merge_output/merge_chr11.vcf' --platform hifi --print_ref_calls False --gvcf False --haploid_precise False --haploid_sensitive False --gvcf_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/merge_output/merge_chr11.gvcf' --non_var_gvcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/gvcf_tmp_output/non_var.gvcf --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --qual 2 --ctgName chr11
1	:	1772287875.224	     2.858	0	0	0	0	pypy3 /opt/bin/scripts/../clair3.py MergeVcf --pileup_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --bed_fn_prefix /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed --full_alignment_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/full_alignment.vcf.gz --output_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/merge_output/merge_chr1.vcf' --platform hifi --print_ref_calls False --gvcf False --haploid_precise False --haploid_sensitive False --gvcf_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/merge_output/merge_chr1.gvcf' --non_var_gvcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/gvcf_tmp_output/non_var.gvcf --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --qual 2 --ctgName chr1
4	:	1772287875.240	     2.871	0	0	0	0	pypy3 /opt/bin/scripts/../clair3.py MergeVcf --pileup_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --bed_fn_prefix /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed --full_alignment_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/full_alignment.vcf.gz --output_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/merge_output/merge_chr4.vcf' --platform hifi --print_ref_calls False --gvcf False --haploid_precise False --haploid_sensitive False --gvcf_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/merge_output/merge_chr4.gvcf' --non_var_gvcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/gvcf_tmp_output/non_var.gvcf --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --qual 2 --ctgName chr4
12	:	1772287875.327	     2.815	0	0	0	0	pypy3 /opt/bin/scripts/../clair3.py MergeVcf --pileup_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --bed_fn_prefix /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed --full_alignment_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/full_alignment.vcf.gz --output_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/merge_output/merge_chr12.vcf' --platform hifi --print_ref_calls False --gvcf False --haploid_precise False --haploid_sensitive False --gvcf_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/merge_output/merge_chr12.gvcf' --non_var_gvcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/gvcf_tmp_output/non_var.gvcf --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --qual 2 --ctgName chr12
5	:	1772287875.246	     2.934	0	0	0	0	pypy3 /opt/bin/scripts/../clair3.py MergeVcf --pileup_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --bed_fn_prefix /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed --full_alignment_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/full_alignment.vcf.gz --output_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/merge_output/merge_chr5.vcf' --platform hifi --print_ref_calls False --gvcf False --haploid_precise False --haploid_sensitive False --gvcf_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/merge_output/merge_chr5.gvcf' --non_var_gvcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/gvcf_tmp_output/non_var.gvcf --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --qual 2 --ctgName chr5
9	:	1772287875.276	     2.948	0	0	0	0	pypy3 /opt/bin/scripts/../clair3.py MergeVcf --pileup_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --bed_fn_prefix /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed --full_alignment_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/full_alignment.vcf.gz --output_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/merge_output/merge_chr9.vcf' --platform hifi --print_ref_calls False --gvcf False --haploid_precise False --haploid_sensitive False --gvcf_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/merge_output/merge_chr9.gvcf' --non_var_gvcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/gvcf_tmp_output/non_var.gvcf --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --qual 2 --ctgName chr9
2	:	1772287875.229	     3.051	0	0	0	0	pypy3 /opt/bin/scripts/../clair3.py MergeVcf --pileup_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --bed_fn_prefix /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed --full_alignment_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/full_alignment.vcf.gz --output_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/merge_output/merge_chr2.vcf' --platform hifi --print_ref_calls False --gvcf False --haploid_precise False --haploid_sensitive False --gvcf_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/merge_output/merge_chr2.gvcf' --non_var_gvcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/gvcf_tmp_output/non_var.gvcf --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --qual 2 --ctgName chr2
3	:	1772287875.234	     3.048	0	0	0	0	pypy3 /opt/bin/scripts/../clair3.py MergeVcf --pileup_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --bed_fn_prefix /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed --full_alignment_vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/full_alignment.vcf.gz --output_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/merge_output/merge_chr3.vcf' --platform hifi --print_ref_calls False --gvcf False --haploid_precise False --haploid_sensitive False --gvcf_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/merge_output/merge_chr3.gvcf' --non_var_gvcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/gvcf_tmp_output/non_var.gvcf --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --qual 2 --ctgName chr3
