Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
6	:	1772287710.834	     5.687	0	0	0	0	python3 /opt/bin/scripts/../clair3.py CallVariantsFromCffi --chkpnt_fn /opt/models/hifi_sequel2/full_alignment.pt --bam_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/HG002_aligned.bam --call_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/full_alignment_''.vcf' --sampleName SAMPLE --vcf_fn EMPTY --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --full_aln_regions '' --ctgName '' --add_indel_length --no_phasing_for_fa False --minMQ 5 --minCoverage 2 --phased_vcf_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/phase_output/phase_vcf/phased_''.vcf.gz' --gvcf False --enable_long_indel False --samtools samtools --use_gpu False --keep_iupac_bases False --cmd_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/CMD --enable_dwell_time False --platform hifi
11	:	1772287710.871	     6.138	0	0	0	0	python3 /opt/bin/scripts/../clair3.py CallVariantsFromCffi --chkpnt_fn /opt/models/hifi_sequel2/full_alignment.pt --bam_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/HG002_aligned.bam --call_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/full_alignment_chr14_GL000194v1_random.0_1.vcf' --sampleName SAMPLE --vcf_fn EMPTY --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --full_aln_regions /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed/chr14_GL000194v1_random.0_1 --ctgName chr14_GL000194v1_random --add_indel_length --no_phasing_for_fa False --minMQ 5 --minCoverage 2 --phased_vcf_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/phase_output/phase_vcf/phased_chr14_GL000194v1_random.vcf.gz' --gvcf False --enable_long_indel False --samtools samtools --use_gpu False --keep_iupac_bases False --cmd_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/CMD --enable_dwell_time False --platform hifi
10	:	1772287710.863	     6.973	0	0	0	0	python3 /opt/bin/scripts/../clair3.py CallVariantsFromCffi --chkpnt_fn /opt/models/hifi_sequel2/full_alignment.pt --bam_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/HG002_aligned.bam --call_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/full_alignment_chr14_GL000009v2_random.0_1.vcf' --sampleName SAMPLE --vcf_fn EMPTY --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --full_aln_regions /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed/chr14_GL000009v2_random.0_1 --ctgName chr14_GL000009v2_random --add_indel_length --no_phasing_for_fa False --minMQ 5 --minCoverage 2 --phased_vcf_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/phase_output/phase_vcf/phased_chr14_GL000009v2_random.vcf.gz' --gvcf False --enable_long_indel False --samtools samtools --use_gpu False --keep_iupac_bases False --cmd_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/CMD --enable_dwell_time False --platform hifi
13	:	1772287716.561	     5.868	0	0	0	0	python3 /opt/bin/scripts/../clair3.py CallVariantsFromCffi --chkpnt_fn /opt/models/hifi_sequel2/full_alignment.pt --bam_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/HG002_aligned.bam --call_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/full_alignment_''.vcf' --sampleName SAMPLE --vcf_fn EMPTY --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --full_aln_regions '' --ctgName '' --add_indel_length --no_phasing_for_fa False --minMQ 5 --minCoverage 2 --phased_vcf_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/phase_output/phase_vcf/phased_''.vcf.gz' --gvcf False --enable_long_indel False --samtools samtools --use_gpu False --keep_iupac_bases False --cmd_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/CMD --enable_dwell_time False --platform hifi
14	:	1772287717.059	     5.884	0	0	0	0	python3 /opt/bin/scripts/../clair3.py CallVariantsFromCffi --chkpnt_fn /opt/models/hifi_sequel2/full_alignment.pt --bam_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/HG002_aligned.bam --call_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/full_alignment_chr14_KI270723v1_random.0_1.vcf' --sampleName SAMPLE --vcf_fn EMPTY --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --full_aln_regions /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed/chr14_KI270723v1_random.0_1 --ctgName chr14_KI270723v1_random --add_indel_length --no_phasing_for_fa False --minMQ 5 --minCoverage 2 --phased_vcf_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/phase_output/phase_vcf/phased_chr14_KI270723v1_random.vcf.gz' --gvcf False --enable_long_indel False --samtools samtools --use_gpu False --keep_iupac_bases False --cmd_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/CMD --enable_dwell_time False --platform hifi
15	:	1772287717.876	     7.256	0	0	0	0	python3 /opt/bin/scripts/../clair3.py CallVariantsFromCffi --chkpnt_fn /opt/models/hifi_sequel2/full_alignment.pt --bam_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/HG002_aligned.bam --call_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/full_alignment_chr14_KI270724v1_random.0_1.vcf' --sampleName SAMPLE --vcf_fn EMPTY --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --full_aln_regions /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed/chr14_KI270724v1_random.0_1 --ctgName chr14_KI270724v1_random --add_indel_length --no_phasing_for_fa False --minMQ 5 --minCoverage 2 --phased_vcf_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/phase_output/phase_vcf/phased_chr14_KI270724v1_random.vcf.gz' --gvcf False --enable_long_indel False --samtools samtools --use_gpu False --keep_iupac_bases False --cmd_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/CMD --enable_dwell_time False --platform hifi
4	:	1772287710.821	    15.916	0	0	0	0	python3 /opt/bin/scripts/../clair3.py CallVariantsFromCffi --chkpnt_fn /opt/models/hifi_sequel2/full_alignment.pt --bam_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/HG002_aligned.bam --call_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/full_alignment_chr10.1_2.vcf' --sampleName SAMPLE --vcf_fn EMPTY --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --full_aln_regions /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed/chr10.1_2 --ctgName chr10 --add_indel_length --no_phasing_for_fa False --minMQ 5 --minCoverage 2 --phased_vcf_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/phase_output/phase_vcf/phased_chr10.vcf.gz' --gvcf False --enable_long_indel False --samtools samtools --use_gpu False --keep_iupac_bases False --cmd_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/CMD --enable_dwell_time False --platform hifi
16	:	1772287722.460	     5.674	0	0	0	0	python3 /opt/bin/scripts/../clair3.py CallVariantsFromCffi --chkpnt_fn /opt/models/hifi_sequel2/full_alignment.pt --bam_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/HG002_aligned.bam --call_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/full_alignment_chr14_KI270725v1_random.0_1.vcf' --sampleName SAMPLE --vcf_fn EMPTY --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --full_aln_regions /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/candidate_bed/chr14_KI270725v1_random.0_1 --ctgName chr14_KI270725v1_random --add_indel_length --no_phasing_for_fa False --minMQ 5 --minCoverage 2 --phased_vcf_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/phase_output/phase_vcf/phased_chr14_KI270725v1_random.vcf.gz' --gvcf False --enable_long_indel False --samtools samtools --use_gpu False --keep_iupac_bases False --cmd_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/CMD --enable_dwell_time False --platform hifi
18	:	1772287725.169	     6.034	0	0	0	0	python3 /opt/bin/scripts/../clair3.py CallVariantsFromCffi --chkpnt_fn /opt/models/hifi_sequel2/full_alignment.pt --bam_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/HG002_aligned.bam --call_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/full_alignment_''.vcf' --sampleName SAMPLE --vcf_fn EMPTY --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --full_aln_regions '' --ctgName '' --add_indel_length --no_phasing_for_fa False --minMQ 5 --minCoverage 2 --phased_vcf_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/phase_output/phase_vcf/phased_''.vcf.gz' --gvcf False --enable_long_indel False --samtools samtools --use_gpu False --keep_iupac_bases False --cmd_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/CMD --enable_dwell_time False --platform hifi
20	:	1772287728.177	     6.777	0	0	0	0	python3 /opt/bin/scripts/../clair3.py CallVariantsFromCffi --chkpnt_fn /opt/models/hifi_sequel2/full_alignment.pt --bam_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/HG002_aligned.bam --call_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/full_alignment_output/full_alignment_''.vcf' --sampleName SAMPLE --vcf_fn EMPTY --ref_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/reference/GRCh38.fa --full_aln_regions '' --ctgName '' --add_indel_length --no_phasing_for_fa False --minMQ 5 --minCoverage 2 --phased_vcf_fn '/hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/phase_output/phase_vcf/phased_''.vcf.gz' --gvcf False --enable_long_indel False --samtools samtools --use_gpu False --keep_iupac_bases False --cmd_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/CMD --enable_dwell_time False --platform hifi
