Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
8	:	1772287675.949	     1.877	0	61	0	0	pypy3 /opt/bin/scripts/../clair3.py SelectHetSnp --vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --split_folder /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/phase_output/phase_vcf --ctgName chr8
7	:	1772287675.944	     1.951	0	61	0	0	pypy3 /opt/bin/scripts/../clair3.py SelectHetSnp --vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --split_folder /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/phase_output/phase_vcf --ctgName chr7
4	:	1772287675.925	     2.039	0	61	0	0	pypy3 /opt/bin/scripts/../clair3.py SelectHetSnp --vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --split_folder /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/phase_output/phase_vcf --ctgName chr4
9	:	1772287675.954	     2.049	0	61	0	0	pypy3 /opt/bin/scripts/../clair3.py SelectHetSnp --vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --split_folder /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/phase_output/phase_vcf --ctgName chr9
1	:	1772287675.911	     2.119	0	61	0	0	pypy3 /opt/bin/scripts/../clair3.py SelectHetSnp --vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --split_folder /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/phase_output/phase_vcf --ctgName chr1
2	:	1772287675.916	     2.117	0	61	0	0	pypy3 /opt/bin/scripts/../clair3.py SelectHetSnp --vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --split_folder /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/phase_output/phase_vcf --ctgName chr2
3	:	1772287675.920	     2.159	0	61	0	0	pypy3 /opt/bin/scripts/../clair3.py SelectHetSnp --vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --split_folder /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/phase_output/phase_vcf --ctgName chr3
16	:	1772287676.074	     2.007	0	62	0	0	pypy3 /opt/bin/scripts/../clair3.py SelectHetSnp --vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --split_folder /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/phase_output/phase_vcf --ctgName chr16
6	:	1772287675.938	     2.194	0	61	0	0	pypy3 /opt/bin/scripts/../clair3.py SelectHetSnp --vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --split_folder /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/phase_output/phase_vcf --ctgName chr6
11	:	1772287675.999	     2.133	0	62	0	0	pypy3 /opt/bin/scripts/../clair3.py SelectHetSnp --vcf_fn /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/pileup.vcf.gz --split_folder /hdd4/sines/specialtopicsinbioinformatics/hafsa.sines/variant_calling_pipeline/results/clair3/tmp/phase_output/phase_vcf --ctgName chr11
